channel,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
67.0,6.719100000000001,0.6686943445353994,0.4471521264136275,0.7845533170807238,0.6155239073423668,1.0217379142868728,1.0439483654912889,1.1190551018373969,1.2522843209483068,1.1904078018698265,1.4170707347525522,1.224920216082152,1.5004295357667459,1.2553998540759228,1.5760287936138482,1.1282641255345636,1.2729799369682735,0.8232859797296733,0.6777998044194481,0.8232859797296733,0.6777998044194481,0.6495339791063443,0.42189439001372087
68.0,6.8264000000000005,0.7278360125644366,0.5297452611856988,0.9095250859122817,0.8272358819037433,1.0248411008694407,1.050299282031287,1.2568868489275622,1.5797645510070566,1.2690566981360762,1.6105049030840402,1.3755079079998118,1.8920220049700187,1.3420581478247513,1.801120072142802,1.2465417658145908,1.553866373920158,0.894257214517812,0.7996959657171561,0.894257214517812,0.7996959657171561,0.7131173833593902,0.5085364024493435
69.0,6.933700000000001,0.6835719068949134,0.4672705518959482,0.8589007925029115,0.7377105713621295,1.0261498821800386,1.052983580698107,1.1641304154799443,1.3551996242455078,1.2966129481643753,1.681205137347513,1.329316264092767,1.7670817299815509,1.28213598269719,1.6438726781268893,1.16681335182268,1.3614533979916772,0.8195806320476094,0.671712412427559,0.8195806320476094,0.671712412427559,0.6916824002957147,0.47842454287884134
70.0,7.041,0.5550425234445616,0.3080722028317067,0.7311729236397327,0.5346138442638745,0.8338306624944597,0.6952735737159496,0.9491301023608092,0.9008479512074401,1.0176381491184023,1.0355874025411276,1.0119934791858307,1.0241308019146425,1.0364518173691877,1.074232369727892,0.9540250206317276,0.9101637399913682,0.6850561687371016,0.46930195432475624,0.6850561687371016,0.46930195432475624,0.5660612994869267,0.3204253947768282
71.0,7.148300000000001,0.511358033361969,0.26148703828382064,0.6326873082819056,0.400293230061003,0.7382833938753695,0.545062369672134,0.8878500701015706,0.7882777469793638,0.9525454977291655,0.9073429252441036,0.9580970225588812,0.9179499046361933,0.9511575766111062,0.9047007355447124,0.8989593956074732,0.8081279949509534,0.6262703433794593,0.3922145429966259,0.6262703433794593,0.3922145429966259,0.489763070021114,0.23986786475650665
72.0,7.2556,0.4912967750559314,0.24137252118035846,0.5879731807045466,0.34571246122782145,0.7292139590166327,0.5317529980247112,0.8229942558138036,0.6773195451025164,0.905299916729093,0.8195679392297028,0.9190785285197922,0.8447053415861066,0.9056993172852141,0.820291253330903,0.8325865126193972,0.6932003009957296,0.5875718505390767,0.3452406795459151,0.5875718505390767,0.3452406795459151,0.46651139529880786,0.21763288194364058
73.0,7.362900000000001,0.4311448214886013,0.18588585709643787,0.5409972923071428,0.2926780702836601,0.6538944126730509,0.4275779029250342,0.7490303372147323,0.5610464460680157,0.8228854188668066,0.6771404125835997,0.8336737611416004,0.6950119400159822,0.8315941497102131,0.6915488298322523,0.7573545740942171,0.573585950901433,0.5449130554704547,0.2969302380221468,0.5449130554704547,0.2969302380221468,0.4207863005527915,0.17706111073290418
74.0,7.470200000000001,0.37703043366048594,0.1421519479062141,0.4635812339917195,0.21490756050928542,0.5646721905469401,0.3188546827770798,0.6402857496360077,0.40996584118694435,0.7116036487096888,0.5063797528569423,0.7157503876113436,0.5122986173657885,0.6887938340434727,0.474436945816307,0.6410837911117788,0.41098842722625084,0.45453077710079615,0.20659822733185362,0.45453077710079615,0.20659822733185362,0.3590965652558941,0.12895034317858062
75.0,7.5775000000000015,0.29469941122982973,0.08684774297920829,0.3685217254123709,0.13580826210091088,0.44459335074722467,0.19766324752864473,0.5041523206122885,0.25416956237875576,0.5478935074313601,0.3001872954854379,0.5614851469226061,0.31526557021470053,0.5522707342756127,0.3050029639373244,0.49654406763834025,0.24655601110682862,0.3565785735146028,0.127148279089709,0.3565785735146028,0.127148279089709,0.2893988574120298,0.08375169867138836
76.0,7.6848,0.2527875114370879,0.06390152593855584,0.3133572991896312,0.09819279695542003,0.3837503977360366,0.14726436776256627,0.43049799153591395,0.18532852071645584,0.47487610998461377,0.225507319834119,0.47791193115954866,0.22839981394464917,0.4687420709595124,0.2197191290874126,0.42652939873222895,0.18192732798287675,0.31217444479375167,0.0974528839822871,0.31217444479375167,0.0974528839822871,0.24687623073993561,0.06094787330435793
